Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Governing Law,Governing Law-Answer,Termination For Convenience,Termination For Convenience-Answer,Exclusivity,Exclusivity-Answer,Revenue/Profit Sharing,Revenue/Profit Sharing-Answer,Post-Termination Services,Exact_Law,Discrepancy
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],CO-BRANDING AGREEMENT,"['Lucent Technologies Inc.', 'Lucent', 'mPhase Technologies Inc.', '(each individually, ""a Party"" and, collectively, ""the Parties""}.', 'mPhase']","Lucent Technologies Inc. (""Lucent""); mPhase Technologies Inc. (""mPhase"")(""a Party"" and collectively, ""the Parties"")",[],,"['The Term of this Agreement will commence on the date above, and shall          continue for a term of one (1) year']",1/21/04,"['mPhase shall have the right to          annually renew this agreement for a period of one year upon each annual          expiration with the written consent of Lucent, which written consent          shall not be unreasonably withheld.']",successive 1 year,"['The validity, construction and performance of this Agreement shall be          governed by the laws of the State of New York.']",New York,['Either party wishing to terminate          the Agreement must give written notice to the other party at least          thirty (30) days prior to the desired date of termination.'],Yes,[],No,[],No,[],Civil Law,The Effective Date of the agreement is not provided in the details. It would be helpful to have this information for clarity on when the agreement officially came into effect.
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],CO-BRANDING AGREEMENT,"['VerticalNet', 'LeadersOnline', 'VerticalNet, Inc.', '(each a ""Party"" and together the ""Parties"").', 'LeadersOnline, Inc.']","VerticalNet, Inc. (""VerticalNet""); LeadersOnline, Inc. (""LeadersOnline"")(""Party"" and together the ""Parties"")","['March 15, 2000']",3/15/00,"['Term shall mean the Effective Date through June 15, 2001 and any Renewal Term (as defined in paragraph 7.4 herein.)']",6/15/01,"['LeadersOnline shall have the option, subject to VerticalNet\'s approval exercised in its sole  and absolute discretion, to extend the Term of this Agreement for an additional 12 months (a ""Renewal Term"") on such terms and conditions as may be mutually agreed upon by the Parties.']",12 months,['This Agreement shall be governed by and interpreted under the laws of the Commonwealth of Pennsylvania without regard to its conflicts of law provisions.'],Pennsylvania,[],No,[],No,"['LeadersOnline shall pay VerticalNet a one time fee for each Candidate who is offered and accepts employment as a result of a contact made by LeadersOnline (each a ""Placement"").', 'If government regulations prevent LeadersOnline from sharing any revenues associated with LeadersOnline Services, VerticalNet and LeadersOnline shall negotiate in good faith a compensation structure that seeks to provide VerticalNet with compensation equal to that set forth in Sections 6.3.1  [Revenue Sharing].', 'LeadersOnline shall pay VerticalNet *** percent (***%) of LeadersOnline- VerticalNet Revenue, payable to VerticalNet  on or before the fifteenth day of  the calendar month immediately following the month in which<omitted>such revenue was received by LeadersOnline.']",Yes,[],Contract Act,None
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],CO-BRANDING AGREEMENT,"['VerticalNet, Inc.', 'VerticalNet', 'Neoforma', 'Neoforma.com, Inc.']","VerticalNet, Inc. (""VerticalNet""); Neoforma.com, Inc. (""Neoforma"")","['November 19, 1999']",11/19/99,"['INITIAL TERM shall mean the Effective Date through the day prior to the second anniversary of the Effective Date, unless earlier terminated pursuant to Section 11.']",11/19/01,"['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either Party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement (a ""Termination Notice"").']",successive 1 year,['This Agreement shall be governed by and interpreted under the laws of the Commonwealth of Pennsylvania without regard to its conflicts of law provisions.'],Pennsylvania,[],No,"['Within 30 days after the Effective Date, Neoforma shall provide a copy of all Neoforma Laboratory Product Listings existing as of the Effective Date to VerticalNet for use on the VerticalNet Sites on an exclusive basis (even as to Neoforma), to the extent Neoforma has the right to do so.', 'Within 30 days after the Effective Date, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings for New Medical Products existing as of the Effective Date to Neoforma for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'Neoforma hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the Neoforma Career Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.', 'Neoforma hereby grants VerticalNet an exclusive license, even as to Neoforma, to use, modify, enhance, reproduce, display, perform and transmit the Neoforma Laboratory Product Listings, subject to and in accordance with the terms, conditions and provisions of this Agreement, to the extent Neoforma has the right to do so.', 'Neoforma shall not place any Link on a Neoforma Site to, or a Neoforma Link on the Site of, any other provider or host of a service similar to the Co-Branded Training and Education Center or to any other training or education service websites.', 'From time to time during the Term, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings received by VerticalNet after the Effective Date to Neoforma as such Product Listings are made available to VerticalNet for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'During the Term, VerticalNet shall have the exclusive right to arrange for the sale of all advertising on the Co-Branded Sites, subject to reasonable approval of each such advertiser by Neoforma.', 'VerticalNet hereby grants Neoforma an exclusive license, even as to<omitted>VerticalNet, to use, modify, enhance, reproduce, display, perform and transmit the VerticalNet Medical Product Listings, subject to and in accordance with the terms, conditions and provisions of this Agreement, to the extent that VerticalNet has the right to do so.', 'Within 30 days after the Effective Date, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings for Used and Excess Medical Products existing as of the Effective Date to Neoforma for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'Neoforma hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the Neoforma T&E Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.', 'Notwithstanding the foregoing, VerticalNet\'s activities in connection with its ""Storefronts"" and ""E-Commerce Centers"" (as conducted today, in a fashion substantially similar to the manner in which such activities are conducted today or as otherwise mutually agreed upon by the parties, which agreement shall not be unreasonably withheld or delayed) shall not be considered to be a breach of Section 2.1  [MEDICAL PRODUCTS], 2.2  [MEDICAL PRODUCTS] or 2.3  [MEDICAL PRODUCTS].']",Yes,"['Neoforma shall pay to VerticalNet a commission of [*] of the Net Advertising Revenue received during the Term for the initial placement and renewals of Advertising sold by VerticalNet on the Neoforma Sites.', 'During each 12 month period during the Initial Term that commences on the Effective Date or an anniversary of the Effective Date (each, a ""Contract Year""),<omitted>commissions shall accrue in an amount equal to [*] of any Medical Products Net Revenues during such Contract Year resulting from (a) any VerticalNet Medical Products Listing or (b) any Neoforma Medical Products Listing for which VerticalNet was the Transaction Origination Party.', 'VerticalNet will pay Neoforma [*] of the Career Center Gross Margin.', 'During the Term, VerticalNet shall pay to Neoforma commissions equal to [*] of any Laboratory Products Net Revenues during such Contract Year resulting from (a) any Neoforma Laboratory Products Listing or (b) any VerticalNet Laboratory Products Listing for which Neoforma was the Transaction Origination Party.', 'VerticalNet shall pay to Neoforma a commission of [*] of the Net Advertising Revenue received by VerticalNet during the Term for Advertising on the Co-Branded Sites.', 'In addition, if Neoforma sells Advertising to a third party on the Neoforma Sites independently from VerticalNet and if Neoforma previously rejected Advertising by such party when proposed by VerticalNet pursuant to Section 7.1.3  [ADVERTISEMENTS ON THE NEOFORMA SITE], or terminated without cause a prior agreement with such third party that had resulted from such a proposal by VerticalNet, then Neoforma shall pay [*] of the Net Advertising Revenue resulting from such Advertising during the Term to VerticalNet.', 'VerticalNet will pay Neoforma [*] of the Training and Education Gross Margin.', 'After the Initial Term, Neoforma shall pay to VerticalNet commissions equal to [*] of any Medical Products Net Revenues during such Contract Year resulting from (a) any VerticalNet Medical Products Listing or (b) any Neoforma Medical Products Listing for which VerticalNet was the Transaction Origination Party.', 'Except as set forth in Section 10.6.4  [ADVERTISING REVENUE], during the Term, VerticalNet shall not share any revenue derived from advertisements hosted on any VerticalNet Site with Neoforma; provided, however, that if Neoforma brings VerticalNet a Qualified Ad Lead (as defined below) for a new customer that turns into a sale of advertising on a VerticalNet Medical Online Community, VerticalNet shall pay to Neoforma a commission of [*] of the Net Advertising Revenue resulting from such sale of advertising.', 'From and after the point when such accrued commissions equal [*] in any Contract Year (such [*] of accrued commissions shall not be payable by Neoforma), Neoforma shall pay to VerticalNet commissions equal to [*] of any Medical Products Net Revenues during such Contract Year resulting from (a) any VerticalNet Medical Products Listing or (b) any Neoforma Medical Products Listing for which VerticalNet was the Transaction Origination Party.']",Yes,"['If a Termination Notice is sent, the parties shall promptly meet to discuss a phase-out of the Co-Branded Sites and all Links and transfers of Product Listings set forth herein.']",Contract Act,The Termination For Convenience clause is not specified in the provided details.
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],CO-BRANDING AGREEMENT,"['PaperExchange', 'PaperExchange.com, LLC', 'VerticalNet, Inc.', 'VerticalNet']","VerticalNet, Inc. (""""VerticalNet""); PaperExchange.com, LLC (""PaperExchange"")","['September 30, 1999']",9/30/99,"['Initial Term shall mean the Effective Date through the day prior to the fourth anniversary of the Effective Date, unless earlier terminated pursuant to Section 8']",9/30/03,"['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement.']",successive 1 year,['This Agreement shall be governed by and interpreted under the laws of the Commonwealth of Pennsylvania without regard to its conflicts of law provisions.'],Pennsylvania,[],No,"['PaperExchange shall retain the right to place advertisements for its own account on the remaining ***** of the Third Party Advertising Allocation; provided, however, that if any portion of such Third Party Advertising Allocation remains unsold 45 days after it becomes available for advertising, VerticalNet shall have the exclusive right to arrange for third party advertising on such unsold Third Party Advertising Allocation.', 'During the Term, VerticalNet shall have the exclusive right to arrange for the sale of ***** of the third party advertising inventory (which shall consist of a minimum of one advertisement per page on each of the ""Co-Branded Equipment,"" ""Co-Branded Careers,"" ""Resources"" and ""Home Page"" sections or successor, replacement or substitute sections) of the PaperExchange Site and shall be consistent with the amount of advertising on other business to business vertical sites on the PaperExchange Site (the ""Third Party Advertising Allocation"").', 'PaperExchange hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the PaperExchange Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.']",Yes,"['If PaperExchange sells advertising to a third party on the PaperExchange Site independently from VerticalNet, PaperExchange shall pay to VerticalNet a commission of ***** of the Net Advertising Revenue resulting from such advertising during the Term; provided, however, that if PaperExchange previously rejected advertising by such party when proposed by VerticalNet pursuant to Section 4.1  [Advertisements on the PaperExchange Site], or terminated without cause a prior agreement with such third party that had resulted from such a proposal by VerticalNet, then PaperExchange shall pay ***** of the Net Advertising Revenue resulting from such advertising during the Term to VerticalNet.', 'PaperExchange shall pay to VerticalNet a commission of ***** of the Net Advertising Revenue received during the Term for advertisements located on the Third Party Advertising Allocation of the PaperExchange Site.', 'VerticalNet will pay PaperExchange ***** of the Career Center Net Revenue.', 'After PaperExchange has generated PaperExchange Revenue equal to *****, PaperExchange shall pay an amount equal to ***** of the PaperExchange Revenue to VerticalNet; provided, however, that if, in any given calendar year, VerticalNet receives ***** pursuant to this Section 7.4  [Revenue Sharing], the percentage of PaperExchange Revenue that PaperExchange shall pay to VerticalNet for the remainder of such calendar year shall be reduced to *****; and provided further, however, that if, in any given calendar year, VerticalNet receives<omitted>***** in the aggregate pursuant to this Section 7.4  [Revenue Sharing], the percentage of PaperExchange Revenue that PaperExchange shall pay to VerticalNet for the remainder of such calendar year shall be reduced to *****.', 'During the Term, VerticalNet shall not share any revenue derived from advertisements hosted on Pulp and Paper Online or any other VerticalNet Site with PaperExchange; provided, however, that if PaperExchange brings VerticalNet a Qualified Lead<omitted>(as defined below) for a new customer that turns into a sale of advertising on Pulp and Paper. Online or Packaging Online, including, without limitation, the Co-Branded Sites, VerticalNet shall pay to PaperExchange a commission of ***** of the Net Advertising Revenue resulting from such sale of advertising, with the exception that if such advertising is on the Co-branded Career Center, VerticalNet shall pay PaperExchange a commission of ***** of the Net Advertising Revenue resulting from such sale of advertising.', 'VerticalNet will pay PaperExchange ***** of the gross sales of the Professional e-Bookstore on Pulp and Paper Online that originated from the PaperExchange Site.', 'VerticalNet will pay PaperExchange ***** of the Equipment Listings Net Revenue.']",Yes,"[""Upon termination of this Agreement,<omitted>(b) VerticalNet shall be responsible for all charges, payments or expenses incurred by it in connection with the removal of the PaperExchange Links from Co-Branded Sites and the modification of the Co-Branded Sites, including, but not limited to, the removal of PaperExchange Content; (c) PaperExchange shall be responsible for all charges, payments or expenses incurred by it in connection with the removal of the VerticalNet Links, VerticalNet Content and VerticalNet Archived Content from the PaperExchange Site;<omitted>(i) VerticalNet shall retain ownership of the URLs at which the Co-Branded Sites are located, (I) the Co-Branded URLs shall be owned by the party that offers to pay the highest amount to the other for the ownership of such URLs upon payment of such amount to the other party (k) if the agreement is terminated during the Initial Term by VerticalNet pursuant to Section 8.2  [Termination for Cause], (x) VerticalNet shall be released from its obligations under Section 5.8.1  [Non-Competition] and (y) PaperExchange's obligations under Sections 7.2  [Advertising Revenue] and 7.4  [Revenue Sharing] shall be extended for one year after the date of such termination, and (I) if the agreement is terminated during the Initial Term by PaperExchange pursuant to Section 8.2  [Termination for Cause], VerticalNet shall pay to PaperExchange, as liquidated damages, an amount equal to the product determined by multiplying (1) a fraction, the numerator of which shall be the number of days between the effective date of termination and the scheduled expiration date of the Initial Term, and the denominator of which shall be the number of days<omitted>between the Effective Date and the scheduled expiration date of the Initial Term, by (2) *****""]",'Contract Act',None
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT                                      (FORM)'],CO-BRANDING AGREEMENT                                      (FORM),"['NETTAXI', '""SpinRecords.com""  or  ""Client""', 'Solutions  Media,  Inc.,  dba SpinRecords.com', 'NETTAXI Online Communities, Inc.']","NETTAXI Online Communities, Inc. (""NETTAXI""); Solutions Media, Inc.(dba SpinRecords.com, ""SpinRecords.com"" or ""Client"")","['Nov  5,  1999']",11/5/99,"['This  Agreement  shall  be effective upon the              ------------------- Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.']",11/5/00,"['This  Agreement  shall  be effective upon the<omitted>Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.']",successive 1 year,"['This Agreement and any action<omitted>related  thereto  shall  be governed, controlled, interpreted and defined by and under  the laws of the State of California and the United States, without regard to  the conflicts of laws provisions thereof.']",California,"['SpinRecords.com may terminate  this  Agreement  for no reason or for any reason upon sixty (60) days prior  written  notice  to  NETTAXI.', 'NETTAXI  may terminate this Agreement at any time for<omitted>its  convenience,  for  no  reason or for any reason, upon sixty (60) days prior written  notice  to  SpinRecords.com.']",Yes,[],No,"[""In full consideration for the rights granted              --------------------- by  NETTAXI,  SpinRecords.com  agrees  to  pay NETTAXI fifty (50%) percent of ad revenue  at  an  average  rate  no lower then $6.50 per one thousand impressions (CPM)  payable  to  NETTAXI  which  results when the SpinRecords.com Advertising Revenue  is  multiplied by SpinRecords.com's AR Share."", 'Spin agrees to pay      Nettaxi a 5% commission of the gross sales price on all transactions.', 'For each User that accesses the co-branded             ------------------------ site  and  becomes  a  paying  customer  on the co-branded site, SpinRecords.com agrees  to  pay  a  fee  of  five  (5%)  percent  of  the  gross  sale.']",Yes,[],'Commercial Code',"The contract does not include any clause related to exclusivity, but the details provided do not mention about the existence or absence of such a clause."
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],CO-BRANDING AGREEMENT,"['PlanetCAD Inc. (formerly known as Spatial Technology Inc.)', '(""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,', 'PlanetCAD', 'Dassault Systemes', '(each a ""Party,"" together, the ""Parties"").']","Dassault Systemes (""Dassault Systemes"") and/or certain affiliates of Dassault Systems; PlanetCAD Inc. (""PlanetCAD"")(""Party,"" together, the ""Parties"")","['November 14, 2000']",11/14/00,"['This Agreement shall be effective as of the Effective Date and shall continue in force for three years from the Launch Date (the ""Initial Term"") unless earlier']",11/14/03,['The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.'],successive 1 year,"['This Agreement shall be governed by, and construed in accordance with, the Laws of the State of New York, applicable to contracts executed in and to be performed entirely within that<omitted>state.']",New York,[],No,[],No,"['As financial consideration under this Agreement, Net Revenue will be shared by the parties as follows:\n\n                 (a)   For so long as PlanetCAD hosts the Co-Branded Service,                         during which time PlanetCAD shall be the Billing Party,                         all Net Revenue derived from sales of the Co-Branded                         Service to Dassault Systemes Customers shall be                         apportioned [***] percent ([***]%) to Dassault Systems                         and [***] percent ([***]%) to PlanetCAD.', 'The revenue sharing obligations set forth in Section 5.4  [Share of Net Revenue] shall be subject to re-negotiation at the end of the Initial Term.', 'In the event that Dassault Systemes opts to host the                         Co-Branded Service pursuant to Section 4.7  [Change of Hosting] herein they                         shall become the Billing Party and all Net Revenue                         derived from sales of the Co-Branded Service shall be                         apportioned [***] percent ([***]%) to Dassault Systems                         and [***] percent ([***]%) to PlanetCAD.']",Yes,[],Contract Act,None
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,['CO-BRANDING Agreement'],CO-BRANDING Agreement,"['The Boxlot Company', 'Boxlot', 'theglobe', 'theglobe.com, Inc.']","theglobe.com, Inc. (""theglobe""); The Boxlot Company (""Boxlot"")","['March ___, 1999']",03/[]/1999,"['""Launch Date"" means the first date on which the Service is made publicly available.<omitted>This Agreement will become effective on the Effective Date and will continue in effect for 2 years following the Launch Date.']",,[],,"['This Agreement will be governed and construed in accordance with the laws of the State of New York without giving effect to conflict of laws principles. Both parties submit to personal jurisdiction in New York and further agree that any cause of action arising under this Agreement shall be brought in a court in New York City, NY.']",New York,[],No,[],No,"['theglobe shall pay Boxlot *** of Net Revenues.', 'Boxlot shall retain *** of the transaction revenues      it generates from operation of the Service.']",Yes,[],New York State Law,Expiration Date and Renewal Term details are not provided in the contract.
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,['MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT'],MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT,"['MBE', 'iShip.com, Inc.', 'MAILBOXES ETC. USA, INC.', 'Mail                                                         ------- Boxes Etc. USA, Inc.', 'Company']","iShip.com, Inc. (""Company""); Mail Boxes Etc. USA, Inc. (""MBE"")","['April 27, 1999']",4/27/99,['The initial term of this Agreement shall          ----------------------- commence on the Effective Date and end on the fifth anniversary of the Effective Date.'],4/27/04,"['MBE shall have the right to elect by written notice to the Company at any time between two (2) and six (6) months prior to the end of such initial term or any subsequent Renewal Period (as defined below), to notify the Company that MBE elects to seek to extend such term for additional two (2)-year periods (each a ""Renewal Period"") In the event of such election, MBE and the Company shall have  -------------- a period of sixty (60) days in which to negotiate commercially reasonable Basic Fees, Bounty Fees and eBay Fees (and other applicable fees) (""Fee Schedule"")                                                               ------------ under which the Company would be willing to renew this Agreement for such Renewal Period.', 'If MBE notifies the Company of its intent to so renew prior to the end of such initial term or such Renewal Period, the term of this Agreement shall automatically be extended for the Renewal Period and, other than the Fee Schedule, all of the terms and conditions of this Agreement shall remain in full force and effect.']",successive 2 years,"['This Agreement and all acts and transactions pursuant          ------------- hereto and the rights and obligations of the parties hereto shall be governed, construed and interpreted in accordance with the laws of the State of California, without giving effect to principles of conflicts of law.']",California,[],No,"['The Company shall not enter into any agreement or arrangement,      including without limitation any sale, license, service agreement,      co-branding agreement, co-marketing agreement or linking agreement with any      provider of manifesting or shipping services through non-carrier retail      shipping locations; provided, however, that:\n\n               (A) the Company may provide listings of carrier drop-boxes or      carrier-owned counter drop-off locations specific to a particular carrier      (including, without limitation, locations within retail establishments) on      the Company Site, provided that such listings do not include retail      shipping locations, including UPS authorized shipping outlets, FedEx      authorized shipping centers and other commercial mail receiving agencies;      and\n\n               (B) the Company may enter into any such agreement or arrangement      so long as MBE is given advance written notice of such agreement or      arrangement and such agreement or arrangement prohibits the use of the      Manifest or any Company Technology to manifest or ship packages for retail      customers and provided further that Company terminates service to any such      entity that uses the Manifest or any Company Technology to serve retail      customers.', 'MBE shall not enter into any agreement or arrangement with any      provider of an online or Internet-based manifest system other than the      Company.']",Yes,"['In further consideration for the Service and the other          ---------- obligations of the Company hereunder, for each package shipped by or through an MBE Center by a Bounty Customer who pays the shipping rates charged by such MBE\n\nSource: STAMPS.COM INC, 10-Q, 11/14/2000\n\n\n\n\n\nCenter, (""Bounty Package""), the Company shall be entitled to receive the           -------------- following amounts (the ""Bounty Fee"") from each such MBE Center, for Bounty                         ---------- Packages shipped during each calendar month:\n\n         (i)   in the event that less than [***]* Bounty Packages shall have                                             --- been shipped by the MBE Centers during the twelve (12) full months prior to the shipping of such Bounty Package (or, if such information is not yet available for the month prior to the month in which such Bounty Package is shipped, the most recent twelve (12) full months for which such information is available) (the ""Measurement Period""), the amount of [***]* per Bounty Package shipped via       ------------------                   --- air transportation and the amount of [***]* per Bounty Package shipped via                                       --- ground transportation;\n\n         (ii)  in the event that at least [***]* but less than [***]* Bounty                                            ---                  --- Packages have been shipped by the MBE Centers during the Measurement Period, the amount of [***]* per Bounty Package shipped via air transportation and the            --- amount of [***]* per Bounty Package shipped via ground transportation;            ---\n\n         (iii) in the event that at least [***]* but less than [***]* Bounty                                            ---                  --- Packages shall have been shipped by the MBE Centers during the Measurement Period, the amount of [***]* per Bounty Package shipped via air transportation                        --- and the amount of [***]* per Bounty Package shipped via ground transportation;                    --- and\n\n         (iv)  in the event that at least [***]* Bounty Packages shall have been                                            --- shipped by the MBE Centers during the Measurement Period, the amount of [***]*                                                                          --- per Bounty Package shipped via air transportation and the amount of [***]* per                                                                      --- Bounty Package shipped via ground transportation.', 'In further consideration for the Service and the other          -------- obligations of the Company hereunder, for each package shipped by or through an MBE Center by an eBay Customer (""eBay Package""), the Company shall be entitled                                  ------------ to receive the following amounts from such MBE Center for eBay Packages shipped during each calendar month, in each case\n\n----------      *  Confidential treatment has been requested for the bracketed portion. The confidential redacted portion has been omitted and filed separately with the Securities and Exchange Commission.\n\n                                      -10-\n\nafter deduction of the lesser of (x) [***]* and (y) the amount paid or to be                                       --- paid by such eBay Customer directly to the Company with respect to the shipment of such package (the ""eBay Fee""):                       --------\n\n         (i)   in the event that at least [***]* but less than [***]* eBay                                            ---                  --- Packages have been shipped by MBE and the MBE Centers during the Measurement Period, the amount of [***]* per eBay Package shipped via air transportation and                        --- the amount of [***]* per eBay Package shipped via ground transportation;                ---\n\n         (ii)  in the event that at least [***]* but less than [***]* eBay                                            ---                  --- Packages shall have been shipped by the MBE Centers during the Measurement Period, the amount of [***]* per eBay Package shipped via air transportation and                        --- the amount of [***]* per eBay Package shipped via ground transportation; and                ---\n\n         (iii) in the event that at least [***]* eBay Packages shall have been                                            --- shipped by the MBE Centers during the Measurement Period, the amount of [***]*                                                                          --- per eBay Package shipped via air transportation and the amount of [***]* per                                                                    --- eBay Package shipped via ground transportation.']",Yes,"['If this Agreement is terminated or expires in accordance with this Section 15 (other than termination by the Company in the event of an uncured material breach by MBE), then MBE shall have a period of up to twenty-four (24) months from and after the date of such termination, to make arrangements with respect to the conversion of the Service to a non-Company manifest system (the ""Termination Period"").', ""During the Termination Period, the Company will give reasonable cooperation and support to MBE to assure an orderly and efficient transition and, without limiting the generality of the foregoing, at MBE's expense, the Company shall be obligated to provide MBE with data reasonably necessary for MBE to convert or implement the non-Company systems, procedures and practices."", 'During the Termination Period each party will continue to perform its obligations hereunder, and MBE and MBE Centers will continue to pay any applicable fees and payments hereunder to the Company.', 'During the Termination Period and thereafter, and notwithstanding any other provision of this Agreement, MBE will be free to use its own personnel, and/or engage or contract with any third party to use the Specifications to design, develop and market an Internet-based manifest system similar to the Manifest (including products that contain functionality similar to the Service and which have a ""look and feel"" similar or identical to the Manifest), in each case solely for the benefit of MBE and the MBE Centers and international franchisees or licensees of MBE.']",Contract Act,The Termination For Convenience clause is missing from the provided details.
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,['CHASE AFFILIATE AGREEMENT'],CHASE AFFILIATE AGREEMENT,"['Chase Bank USA, N.A. (?Chase?)', 'you as an ""Affiliate""']","Chase Bank USA, N.A., (""Chase""); You (""Affiliate"")",['The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party.'],,['The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party.'],perpetual,[],,"['This Agreement will be governed in all respects by the laws of the State of Delaware, including its conflict with law provisions.']",Delaware,"[""Chase may revoke Affiliate's license at any time."", 'Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination.']",Yes,[],No,[],No,[],Contract Law,The Effective Date and Renewal Term details are not specified in the provided information.
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,['NETWORK AFFILIATE AGREEMENT'],NETWORK AFFILIATE AGREEMENT,"['Digital Cinema Destinations Corp.', '""Network Affiliate"" and with  NCM, each a ""Party"" and collectively, the ""Parties""', 'NCM', 'National CineMedia, LLC']","National CineMedia, LLC (“NCM”); Digital Cinema Destinations Corp.; “Network Affiliate” and with NCM, ""Party"" and collectively, the ""Parties""",['The Parties contemplate that the Effective Date will be on or about __________________________.'],[]/[]/[],"['Unless earlier terminated as provided below, the term of this Agreement shall begin on the Effective Date and shall  continue for a period of five (5) years from the Effective Date (the ""Initial Term"") after which this Agreement may be extended on mutual agreement  of the parties (a ""Renewal Term,"" and together with the Initial Term, the ""Term"").']",[]/[]/2016,[],,['This Agreement shall be binding on the Parties as of the date hereof and is to be construed in accordance  with and governed by the internal laws of the State of Delaware without giving effect to any choice of law rule that would cause the application of  the laws of any jurisdiction other than the internal laws of the State of Delaware to the rights and duties of the Parties.'],Delaware,[],No,"[""Except as permitted by the  Exclusivity Exceptions, during the Term, Network Affiliate shall neither engage nor permit a third party (excluding third party designees of NCM as  provided hereunder) to provide, or itself provide, to any of Network Affiliate's theatres any of the services specifically set forth in the definition of  Service."", ""Subject only to the Exclusivity Exceptions, NCM shall be Network Affiliate's exclusive representative with respect to the procurement of  Inventory (including without limitation all on-screen advertising) for the Advertising Services."", 'During the Term, except as expressly provided in this Agreement, including Section  3.6 (Policy Trailer; Branded Slots); those provisions of Part A of Exhibit A that permit Network Affiliate to engage in certain Lobby Promotions;  Section 3.11 (Grand Openings, Employee Uniforms), collectively, the ""Exclusivity Exceptions"", Network Affiliate shall subscribe for and NCM shall  be the exclusive provider to the theatres of the services specifically set forth in the definition of the ""Service.""']",Yes,"['Each Party shall receive 50% of all Net Revenue derived from the sale of advertising Inventory that is  exhibited in the Theatres (the ""Advertising Revenue Share"").']",Yes,"['Upon termination or expiration of this Agreement, and upon reasonable prior notice to Network  Affiliate, NCM shall be entitled to enter the Theatres upon reasonable prior written notice, and any other premises of Network Affiliate where any  NCM Property may be located, and recover any and all NCM Property, unless Network Affiliate chooses to purchase such Property based on a  straight line five year depreciated value.']",Contract Act,The Effective Date and Expiration Date fields are not clearly specified in the provided details. It is recommended to include these dates for clarity and completeness of the agreement analysis.
